Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-12-05,13,BAL,@,PIT,L 20-19,1,4:04,Own 1,Pressley Harvin of the Steelers punts 64 yards (64) out of bounds (20) at the 1-yard line (50) just missing the pylon (10).,64,64, Out of bounds / Coffin corner,20,1,50,Almost hits the pylon (Non-touchback),10,144,,,
2021-10-10,5,WAS,,NOR,L 33-22,2,1:53,Own 1,Blake Gillikin of the Saints punts 60 yards (60) out of bounds (20) at the 1-yard line (50) just missing the pylon (10).,60,60,Out of bounds inside the 10 (Coffin corner),20,1,50,Almost hits the pylon (Non-touchback),10,140,,,
2021-12-05,13,JAX,@,RAM,L 37-7,4,2:15,Own 1,Johnny Hekker of the Rams punts 58 yards (58) downed by J.J. Koski (5) at the 1-yard line (50) with an assist by Robert Rochell (25).,58,58,Touched on the ground,5,1,50,Batted back out of the end zone,25,138,,,
2022-01-23,DIV,KAN,,BUF,W 42-36,2,11:59,Own 1,130 TUPA = Matt Haack of the Bills punts 50 yards (50) downed by Reid Ferguson (5) at the 1-yard line (50) with an assist by Tyler Matakevich (25).,50,50,Touched on the ground,5,1,50,Batted back out of the end zone,25,130,,,
2021-10-07,5,RAM,@,SEA,W 26-17,3,3:00,Own11,Michael Dickson of the Seahawks punts (twice!) (50) for 68 yards (68) downed by Ugo Amadi (5) at the 11-yard line (5).,68,68,Touched on the ground,5,11,5,Blocked but still got the punt off (Double punt),50,128,,Punted by an offensive player,40
2021-09-09,1,DAL,@,TAM,L 31-29,1,13:18,Own 2,Bradley Pinion of the Buccaneers punts 65 yards (65) out of bounds (20) at the 2-yard line (40).,65,65,Out of bounds / Coffin corner,20,2,40,None,0,125,,Punt distance (gross),1 per yard
2021-12-19,15,NOR,@,TAM,W 9-0,2,0:38,Own 1,125 TUPA = Bradley Pinion of the Buccaneers punts 45 yards (45) downed by Dee Delaney (5) at the 1-yard line (50) with an assist by Ke'Shawn Vaughn (25).,45,45,Touched on the ground,5,1,50,Batted back out of the end zone,25,125,,,
2021-12-05,13,RAM,,JAX,W 37-7,1,8:53,Own 1,Logan Cooke of the Jaguars punts 68 yards (68) downed by Daniel Thomas (5) at the 1-yard line (50).,68,68,Caught on the bounce,5,1,50,None,0,123,,,
2021-11-14,10,DAL,,ATL,W 43-3,3,13:57,Own 1,Dustin Colquitt of the Falcons punts 66 yards (66) downed by Frank Darby (5) at the 1-yard line (50). ,66,66,Touched on the ground,5,1,50,None,0,121,,,
2021-11-14,10,NWE,,CLE,W 45-7,2,11:51,Own 2,Jamie Gillan of the Browns punts 58 yards (58) out of bounds (20) at the 2-yard line (40).,58,58, Out of bounds / Coffin corner,20,2,40,None,0,118,,,
2021-11-28,12,RAM,@,GNB,L 36-28,4,12:41,Own 1,Corey Bojorquez of the Packers punts 61 yards (61) downed by Equanimeous St. Brown (5) at the 1-yard line (50).,61,61,Touched on the ground,5,1,50,None,0,116,,,
2021-09-26,3,SEA,@,MIN,L 30-17,4,0:23,Own 1,Jordan Berry of the Vikings punts 45 yards (45) out of bounds (20) at the 1 yard-line (50).       ,45,45, Out of bounds / Coffin corner,20,1,50,None,0,115,,Touchdown allowed,-50
2021-10-24,7,ARI,,HOU,W 31-5,1,3:06,Own 2,Cameron Johnston of the Texans punts 44 yards (44) downed by Garret Wallow (5) at the 2-yard line (40) with an assist by Tremon Smith (25). ,44,44,Touched on the ground,5,2,40,Batted back out of the end zone,25,114,,,
2021-10-03,4,BAL,@,DEN,W 23-7,4,12:33,Own 2,Sam Martin of the Broncos punts 68 yards (68) downed by Mike Ford (5) at the 2-yard line (40).,68,68,Caught on the bounce,5,2,40,None,0,113,,Almost hits the pylon (Non-touchback),10
2021-10-24,7,TEN,,KAN,W 27-3,1,6:16,Own 3,Tommy Townsend of the Chiefs punts 52 yards (52) downed by Chris Lammons (5) at the 3-yard line (30) with an assist by Marcus Kemp (25). ,52,52,Touched on the ground,5,3,30,Batted back out of the end zone,25,112,,,
2021-12-26,16,DAL,,WAS,W 56-14,4,11:27,Own 1,109 TUPA = Tress Way of WFT punts of 54 yards (54) downed by Wendell Smallwood (5) at the 1-yard line (50).,54,54,Caught on the bounce,5,1,50,None,0,109,,,
2021-10-10,5,WAS,,NOR,L 33-22,3,12:57,Own 3,Blake Gillikin of the Saints punts 57 yards (57) out of bounds (20) at the 3-yard line (30) where it's caught on the bounce by the camera man.,57,57,Out of bounds inside the 10 (Coffin corner),20,3,30,None,0,107,,,
2021-12-12,14,TAM,,BUF,W 33-27,2,0:01,Own 2,106 TUPA = Matt Haack of the Bills punts 61 yards (61) downed by Siran Neal (5) at the 2-yard line (40).,61,61,Touched on the ground,5,2,40,None,0,106,,,
2021-09-26,3,WAS,@,BUF,L 43-21,4,14:39,Own 2,Matt Haack of the Bills punts 60 yards (60) downed by Siran Neal (5) at the 2-yard line (40). ,60,60,Caught on the bounce,5,2,40,None,0,105,,Fair caught by the other team,0
2021-09-26,3,MIA,@,OAK,L 31-28,1,0:36,Own 1,AJ Cole of the Raiders punts 49 yards (49) downed by Zay Jones (5) at the 1-yard line (50)     ,49,49,Caught on the bounce,5,1,50,None,0,104,,Between the 40s,-20
2021-12-05,13,CHI,,ARI,L 33-22,4,14:44,Own 2,Andy Lee of the Cardinals punts 58 yards (58) downed by Dennis Gardeck (5) at the 2-yard line (40). ,58,58,Touched on the ground,5,2,40,None,0,103,,,
2021-11-11,10,BAL,@,MIA,L 22-10,4,7:40,Own 1,Michael Palardy of the Dolphins punts 47 yards (47) downed by Mack Hollins (5) at the 1-yard line (50). ,47,47,Caught on the bounce,5,1,50,None,0,102,,,
